APARATO,MARCA,MODELO,NUMERO_SER,FECHA,ENCARGADO,POSICION,INV_V04,FECHA_INV,STATUS,CHK,INVENTARIO,NUEVA_POS,POS_TEMP,REP_MTTO,INVO02,POS_MAY19,NO_AF,INV_P11,POSP18,RESPONINV,HORA_INV,GRUPO,ES_AF
ANALIZADOR SPECTROS,HEWLETT PACKARD,8559A,2010A08268,1986-07-25,,E117020,,2019-12-09,P,INV,ET,E003233,E005152,0.0,,E003233,15689,,,HERRER,1115.0,ANALI,p
FUENTE DE PODER,KIKUSUI,PWCO620,1050042,1988-12-20,,E901211,OK,2018-05-18,P,INV,ET,EFU1351,E007163,439.0,CAMBIO,EFU1273,16041,INV,,HERRER,1019.0,FUE,S
FUENTE DE PODER,KIKUSUI,PWCO620,1050043,1988-12-20,,E901212,OK,2018-05-18,P,INV,ET,EFU1352,E007261,440.0,CAMBIO,EFU1281,16045,INV,,HERRER,1019.0,FUE,S
FUENTE DE PODER,KIKUSUI,PWCO620,1050045,1988-12-20,,E901213,OK,2018-05-18,P,INV,ET,EFU1231,E007262,441.0,CAMBIO,EFU1282,SNAF,INV,,HERRER,1019.0,FUE,N
FUENTE DE PODER,KIKUSUI,PWCO620,1940381,1988-12-20,,E901221,OK,2018-05-18,P,INV,ET,EFU1232,E007263,442.0,CAMBIO,EFU1283,16030,INV,,HERRER,1020.0,FUE,S
POWER SUPPLY DUAL,LAB VOLT,9401-00,ER,1990-07-07,,E705121,,2018-05-18,P,INV,ET,E001221,E007211,503.0,790236,EFU1211,15678,INV,,HERRER,823.0,FUE,S
GENERADOR DE BARRIDO,WAVETEK,185,B269745,1988-12-19,,E702315,OK,2018-05-17,P,INV,ET,EGE1421,E007411,26.0,790236,EGE1421,16098,INV,,HERRER,1213.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,B269746,1988-12-19,,E702316,OK,2018-05-17,P,INV,ET,EGE1422,E007412,27.0,790236,EGE1422,16116,INV,,HERRER,1213.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,B269747,1988-12-19,,E702321,OK,2018-05-17,P,INV,ET,EGE1431,E007421,28.0,790236,EGE1431,16068,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,B269753,1988-12-19,,E702322,OK,2018-05-17,P,INV,ET,EGE1432,E007422,29.0,790236,EGE1432,16065,INV,,HERRER,1212.0,GEN,S
GENERADOR DE BARRIDO,WILTRON COMP.,610C,71570,1984-10-01,,E117013,OK,2019-12-09,P,E,ET,E008111,E005252,0.0,,E003221,16110,,,HERRER,1120.0,GEN,S
MULTIMETRO DIGITAL,FLUKE,23,37101481,1988-12-13,,E701281,OK,2020-02-25,P,E,ET,E00C122,E00811D,285.0,790236,E00914D,AF/004455,INV,,HERRER,1041.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,23,37101482,1988-12-13,,E701282,OK,2020-01-22,P,INV,ET,E00C124,E00811E,484.0,790236,E00914E,16576,INV,,HERRER,1035.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,23,37101483,1988-12-13,,E701283,OK,2023-02-03,P,E,ET,E00C121,E00811F,483.0,790236,E00914C,AF/004460,INV,,HERRER,1221.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,77,37457307,1988-12-13,83,E70128B,OK,2023-11-18,P,INV,ET,E00C164,E00811B,286.0,790236,E009162,16536,INV,,HERRER,1044.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,77,37457367,1988-12-13,,E70128C,OK,2018-05-17,P,E,ET,E00C133,E00811C,627.0,790236,E009163,16551,,,HERRER,1036.0,MULT,S
CPU 214 SIMATIC S7,SIEMENS,S7-200,214-1BC01-0XB0,1988-12-13,000209,E903521,OK,2018-05-17,P,INV,ET,E006135,E001141,0.0,CAMBIO,E008131,SNAF,INV,,HERRER,1514.0,PLC,N
MULTIMETRO DIGITAL,FLUKE,8060A,6100071,1988-12-13,000206,E901116,OK,2018-05-18,P,E,ET,EMTMU10,E008147,472.0,682390,E009117,16556,,,HERRER,1046.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,6100072,1988-12-13,000206,E901117,OK,2018-05-18,P,E,ET,EMTMU11,E008148,473.0,682390,E009118,16566,,,HERRER,1047.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,6100073,1988-12-13,000206,E901118,OK,2018-05-18,P,E,ET,EMTMU12,E008149,474.0,682390,E009119,16534,,,HERRER,1047.0,MULT,S
MULTIMETRO DIGITAL,KIKUSUI,1505,2710191,1988-12-14,000206,E90111B,OK,2018-05-18,P,E,ET,EMTMU18,E008113,486.0,682390,E009151,16562,,,HERRER,1048.0,MULT,S
MULTIMETRO DIGITAL,KIKUSUI,1505,2710198,1988-12-14,000202,E90111C,OK,2018-05-18,P,E,ET,E00B163,E008114,488.0,682390,E009153,16568,,,HERRER,1048.0,MULT,S
MULTIMETRO DIGITAL,KIKUSUI,1505,2710373,1988-12-14,000206,E90111D,OK,2018-05-18,P,E,ET,EMTMU19,E008115,487.0,682390,E009152,16575,,,HERRER,1047.0,MULT,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150937/0713,1900-02-14,000102,E702423,OK,2018-05-17,P,INV,ET,E002452,E006211,526.0,310333,E002211,74030,INV,,HERRER,1150.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150939/0714,1900-02-14,000102,E702422,OK,2018-05-17,P,INV,ET,E002462,E006212,531.0,310333,E002212,74033,INV,,HERRER,1150.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US36150940/0715,1900-02-14,000102,E702431,OK,2018-05-17,P,INV,ET,E002463,E006221,530.0,310333,E002221,74032,INV,,HERRER,1144.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150941/0723,1900-02-14,011767,E702432,OK,2019-11-26,P,INV,ET,E002471,E006222,528.0,310333,E002222,74031,INV,,HERRER,1144.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150942/0722,1900-02-14,,E702433,OK,2018-05-17,P,INV,ET,E002472,E006231,527.0,310333,E002231,74028,INV,,HERRER,1144.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150944/0724,1900-02-14,,E702483,OK,2018-05-17,P,INV,ET,E002482,E006241,532.0,310333,E002241,74026,INV,,HERRER,1140.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150945/0718,1900-02-14,,E702441,OK,2018-05-17,P,INV,ET,E002211,E006242,535.0,790236,E002242,74027,INV,,HERRER,1143.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150946/0716,1900-02-14,,E702442,OK,2018-05-17,P,INV,ET,E002212,E006251,534.0,790236,E002251,74024,INV,,HERRER,1143.0,OSC,S
VARIAC,CURTIN,116 B,5,1984-12-15,,E70736G,OK,2019-11-19,P,INV,ET,E004114,E004212,0.0,790236,E004112,17048,INV,,HERRER,949.0,VARIAC,S
MULTIMETRO DIGITAL,FLUKE,23,43360661,1988-12-13,83,E701285,OK,2024-05-03,P,INV,ET,E00C123,E00812D,481.0,790236,E009148,SNAF,INV,,HERRER,1043.0,MULT,N
MULTIMETRO DIGITAL,FLUKE,23,43360662,1988-12-13,,E701284,OK,2020-01-22,P,INV,ET,E00C111,E00812E,480.0,790236,E009147,16544,INV,,HERRER,1035.0,MULT,S
GENERADOR DE BARRIDO,WAVETEK,185,J6271705,1988-12-19,,E702323,OK,2018-05-17,P,INV,ET,EGE1441,E007431,30.0,790236,EGE1441,16095,INV,,HERRER,1212.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J6370517,1988-12-19,831211,E702331,OK,2024-05-24,P,INV,OK,EGE2173,88GEN14,31.0,831211,EGE1442,16090,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J6370521,1988-12-19,,E702318,OK,2018-05-17,P,INV,ET,EGE1451,E007441,32.0,790236,EGE1451,16079,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J7061824,1988-12-19,,E702319,OK,2018-05-17,P,INV,ET,EGE1452,E007442,33.0,790236,EGE1452,16076,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J7260298,1988-12-19,,E702317,OK,2018-05-17,P,INV,ET,EGE1461,E007451,34.0,790236,EGE1461,16072,INV,,HERRER,1210.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470096,1988-12-19,,E702311,OK,2018-05-17,P,INV,ET,EGE1471,E007461,36.0,790236,EGE1471,16103,INV,,HERRER,1212.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470104,1988-12-19,000101,E702314,OK,2018-05-17,P,INV,ET,EGE1472,E007462,37.0,790236,EGE1472,16107,INV,,HERRER,1212.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470099,1988-12-19,000101,E702312,OK,2018-05-17,P,INV,ET,EGE1482,E007472,39.0,790236,EGE1482,16112,INV,,HERRER,1212.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470101,1988-12-19,,E702313,OK,2018-05-17,P,INV,ET,EGE1481,E007471,38.0,790236,EGE1481,16060,INV,,HERRER,1212.0,GEN,S
FUNCTION ARBITRARY W,AGILENT,33120A,MY40011980,2003-01-07,,E702353,,2019-03-08,P,INV,OK,E007321,,0.0,790236,EGE1323,081776,,,HERRER,1121.0,GEN,S
LABORATORIO DIGITAL,POWERACE,102,4887065,1988-12-22,,E704284,OK,2018-05-17,P,INV,ET,E00D155,E002134,138.0,790236,E006234,17222,,,HERRER,1457.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887024,1988-12-22,,E704275,OK,2018-05-17,P,INV,ET,E00D145,E002121,131.0,790236,E006221,17216,,,HERRER,1456.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887028,1988-12-22,,E704285,OK,2018-05-17,P,INV,ET,E00D146,E002122,132.0,790236,E006222,17208,,,HERRER,1456.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887004,1988-12-22,,E704272,OK,2018-05-17,P,INV,ET,E00D142,E002112,128.0,790236,E006212,17211,,,HERRER,1456.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,0186119,1988-12-22,83,E704271,OK,2024-02-22,P,INV,ET,E00D141,E002111,127.0,790236,E006211,17213,,,HERRER,1456.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887049,1988-12-22,,E704283,OK,2018-05-17,P,INV,ET,E00D154,E002132,136.0,790236,E006232,17212,,,HERRER,1457.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887031,1988-12-22,,E704281,OK,2018-05-17,P,INV,ET,E00D151,E002123,133.0,790236,E006223,SNAF,,,HERRER,1457.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887023,1988-12-22,,E704274,,2018-05-17,P,INV,ET,E00D144,E002114,130.0,790236,E006214,17225,,,HERRER,1456.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887048,1988-12-22,,E704282,OK,2018-05-17,P,INV,ET,E00D153,E002131,135.0,790236,E006231,17205,,,HERRER,1457.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887006,1988-12-22,,E704273,OK,2018-05-17,P,INV,ET,E00D143,E002113,129.0,790236,E006213,17224,,,HERRER,1456.0,LAB DIG,S
LABORATORIO ANALOGO,POWERACE,103,4987020,1988-12-22,,E704254,OK,2018-05-17,P,INV,ET,E00D163,E002151,143.0,790236,E006251,17209,,,HERRER,1454.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987048,1988-12-22,,E704264,OK,2018-05-17,P,INV,ET,E00D172,E002163,150.0,790236,E00625A,17223,,,HERRER,1455.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987011,1988-12-22,,E704252,OK,2018-05-17,P,INV,ET,E00D161,E002142,140.0,790236,E006242,17228,,,HERRER,1454.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4981008,1988-12-22,,E704251,OK,2018-05-17,P,INV,ET,E00D156,E002141,139.0,790236,E006241,SNAF,,,HERRER,1454.0,LAB ANA,N
LABORATORIO ANALOGO,POWERACE,103,4987041,1988-12-22,,E704263,OK,2018-05-17,P,INV,ET,E00D1B3,E002164,149.0,790236,E006263,17210,,,HERRER,1454.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987015,1988-12-22,,E704253,OK,2018-05-17,P,INV,ET,E00D162,E002143,141.0,790236,E006243,17227,,,HERRER,1455.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987031,1988-12-22,,E704261,OK,2018-11-28,P,INV,ET,E00D166,E002161,147.0,790236,E006261,17220,,,HERRER,1455.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987022,1988-12-22,,E704255,OK,2018-05-17,P,INV,ET,E00D164,E002152,144.0,790236,E006252,17230,,,HERRER,1455.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987033,1988-12-22,83,E704262,OK,2024-03-21,P,INV,ET,E00D171,E002162,148.0,790236,E006262,17214,,,HERRER,1455.0,LAB ANA,S
LABORATORIO ANALOGO,POWERACE,103,4987030,1988-12-22,,E704265,OK,2018-05-17,P,INV,ET,E00D165,E002154,146.0,790236,E006254,17206,,,HERRER,1454.0,LAB ANA,S
MULTIMETRO DIGITAL,FLUKE,8060A,4310020,1988-12-13,000206,E901111,OK,2018-05-18,P,E,ET,EMTMU05,E008141,466.0,682390,E009111,16537,,,HERRER,1046.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,4310022,1988-12-13,000206,E901112,OK,2018-05-18,P,E,ET,EMTMU06,E008143,468.0,682390,E009113,16529,,,HERRER,1046.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,4310023,1988-12-13,000206,E901113,OK,2018-05-18,A,E,ET,EMTMU07,E008144,469.0,682390,E009114,16583,,,HERRER,1045.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,4310024,1988-12-13,000206,E901114,OK,2018-05-18,P,E,ET,EMTMU08,E008145,470.0,682390,E009115,16543,,,HERRER,1048.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,4310025,1988-12-13,000206,E901115,OK,2018-05-18,P,E,ET,EMTMU09,E008146,471.0,682390,E009116,16561,,,HERRER,1047.0,MULT,S
MONITOR,COMMODORE,1702,XC1025163,1987-09-01,000104,E902621,OK,2018-05-18,P,INV,ET,E004141,E005362,0.0,790236,E003362,30223,INV,,HERRER,1041.0,MONI,S
MULTIMETRO DIGITAL,FLUKE,8060A,6100076,1988-12-13,000206,E90111A,OK,2018-05-18,P,E,ET,EMTMU15,E00814C,477.0,682390,E00911C,16547,,,HERRER,1046.0,MULT,S
FUENTE DE PODER,LEADER,LPS-152,4040655,1988-12-20,,66116F8,OK,2018-05-18,P,E,ET,ESMFU07,E007251,7.0,790236,LA216,AF/004968,,,HERRER,1020.0,FUE,S
FUENTE DE PODER,LEADER,LPS-152,4040665,1988-12-20,,E901321,OK,2018-05-18,P,E,ET,EMFUE17,E007252,8.0,790236,EFU1252,16049,,,HERRER,1038.0,FUE,S
FUENTE DE PODER,LEADER,LPS-152,4040676,1988-12-20,,E901271,OK,2018-05-17,P,INV,ET,EFU1251,E007161,499.0,310333,EFU1261,16042,INV,,HERRER,1137.0,FUE,S
FRECUENCY COUNTER,LAB VOLT 9401/5,9303-00,BQ,1991-05-31,,E705163,OK,2018-05-18,P,INV,ET,E002422,E002322,0.0,790236,E007322,16018,INV,,HERRER,821.0,COUNT,S
MEDIDOR DE IMPEDANC.,PHILIPS,PM 6303M,LO 7737,1990-01-23,,E704441,OK,2019-11-26,P,INV,ET,E003161,DAÑADO,0.0,790236,E002152,01280,INV,,HERRER,804.0,MEDID,S
MEDIDOR DE IMPEDANC.,PHILIPS,PM 6303M,LO 7739,1990-01-23,,E704442,OK,2018-05-18,P,INV,ET,E003152,E001271,228.0,310333,E002163,01270,INV,,HERRER,804.0,MEDID,S
TRAZADOR DE CURVAS,TEKTRONIX,577D1,B108481,1990-05-08,,E003123,OK,2019-12-09,P,INV,ET,E003123,E005243,0.0,790236,E003111,01884,INV,,HERRER,1043.0,TRA CUR,S
ANALIZADOR DE SEÑAL,HEWLETT PACKARD,3561A,2945A06388,1990-05-08,,E704421,OK,2018-05-18,P,INV,ET,E003121,E005151,0.0,790236,E003141,01885,INV,,HERRER,808.0,ANALI,S
FUENTE DE PODER,LEADER,LPS-152,0070343,1990-11-16,,66116F2,OK,2018-05-18,P,INV,ET,ESMFU01,E007152,5.0,CAMBIO,LA216,AF/004973,,,HERRER,1020.0,FUE,S
FUENTE DE PODER,LEADER,LPS-152,0110397,1990-11-16,,66116F1,OK,2018-05-18,P,INV,ET,EFU1253,E007153,6.0,CAMBIO,EFU1133,04349,INV,,HERRER,1023.0,FUE,S
FUENTE DE PODER,LEADER,LPS-152,0070318,1990-11-16,,66116F4,OK,2018-05-18,P,INV,ET,EMFUE15,E007243,261.0,CAMBIO,EMFUE31,ILEGIBLE,,,HERRER,1021.0,FUE,S
FUENTE DE PODER,LEADER,LPS-152,0070214,1990-11-16,,6611F01,OK,2018-05-18,P,INV,ET,EMFUE16,E007241,290.0,CAMBIO,EMFUE32,04351,,,HERRER,1017.0,FUE,S
FUENTE DE PODER,LEADER,LPS-152,0070323,1990-11-16,,E901273,OK,2018-05-18,P,INV,ET,EFU1361,E007151,433.0,CAMBIO,EFU1131,AF/004462,INV,,HERRER,1024.0,FUE,S
DUAL FUNCTION GEN,LAB VOLT 9401/5,9402-00,A-1865,1991-05-31,,E705182,OK,2019-11-21,P,INV,ET,E002411,E002311,0.0,790236,E007311,SNAF,INV,,HERRER,815.0,GEN,N
DUAL FUNCTION GEN,LAB VOLT 9401/5,9402-00,A-8625,1991-05-31,,E705183,OK,2018-05-18,P,INV,ET,E002412,E002312,0.0,790236,E007312,16069,INV,,HERRER,815.0,GEN,S
FREQUENCY COUNTER,LAB VOLT 9401/5,9403-00,BQ,1991-05-31,,E705162,OK,2018-05-18,P,INV,ET,E002421,E002321,0.0,790236,E007321,16019,INV,,HERRER,820.0,COUNT,S
TRUE RMS VOLTMETER,LAB VOLT 9401/5,9404-00,A-1518,1991-05-31,,E705113,OK,2018-05-18,P,INV,ET,E002311,,0.0,790236,E007331,17065,INV,,HERRER,824.0,VOLMETER,S
TRUE RMS VOLTMETER,LAB VOLT 9401/5,9404-00,BS,1991-05-31,,E705112,OK,2018-05-18,P,INV,ET,E002312,E002332,0.0,790236,E007332,17074,INV,,HERRER,824.0,VOLMETER,S
SPECTRUM ANALYZER,LAB VOLT 9401/5,9405-00,A-1893,1991-05-31,,E705173,OK,2018-05-18,P,INV,ET,E002321,E002341,0.0,790236,E007341,16688,INV,,HERRER,816.0,ANALI,S
SPECTRUM ANALYZER,LAB VOLT 9401/5,9405-00,A-1889,1991-05-31,,E705172,OK,2018-05-18,P,INV,ET,E002322,E002342,0.0,790236,E007342,15690,INV,,HERRER,816.0,ANALI,S
RF/NOISE GENERATOR,LAB VOTL 9401/5,9406-00,A-3300,1991-05-31,,E705142,OK,2018-05-18,P,INV,ET,E002331,E002351,0.0,790236,E007351,16111,INV,,HERRER,823.0,GEN,S
RF/NOISE GENERATOR,LAB VOLT 9401/5,9406-00,A-3310,1991-05-31,,E705143,OK,2018-05-18,P,INV,ET,E002332,E002352,0.0,790236,E007352,16101,INV,,HERRER,823.0,GEN,S
AM/DSB/SSB GENERATOR,LAB VOLT 9401/5,9410-00,KR,1991-05-31,,E705171,OK,2018-05-18,P,INV,ET,E002341,E002361,0.0,790236,E007361,16061,INV,,HERRER,815.0,GEN,S
AM/DSB RECEIVER,LAB VOLT 9401/5,9411-00,AS,1991-05-31,,E705151,OK,2018-05-18,P,INV,ET,E002342,E002362,0.0,790236,E007362,17403,INV,,HERRER,822.0,RECEIVER,S
SSB RECEIVER,LAB VOLT 9401/5,9412-00,AS,1991-05-31,,E705111,OK,2018-05-18,P,INV,ET,E002351,E002371,0.0,790236,E007371,17402,INV,,HERRER,824.0,RECEIVER,S
DIRECT FM MULTIPLEX,LAB VOLT 9401/5,9413-00,AS,1991-05-31,,E705181,OK,2018-05-18,P,INV,ET,E002352,E002372,0.0,790236,E007372,16100,INV,,HERRER,815.0,MULTIPLEX,S
INDIRECT FM/PM GEN,LAB VOLT 9401/5,9414-00,AS,1991-05-31,,E705152,OK,2018-05-18,P,INV,ET,E002361,E002381,0.0,790236,E007381,16086,INV,,HERRER,822.0,GEN,S
FM/PM RECEIVER,LAB VOLT 9401/5,9415-10,AS,1991-05-31,,E705153,OK,2018-05-18,P,INV,ET,E002362,E002382,0.0,790236,E007382,17404,INV,,HERRER,822.0,RECEIVER,S
CLOCK GENERATOR,LAB VOLT 9401/5,9421-00,A-8035,1991-05-31,,E705161,OK,2018-05-18,P,INV,ET,E002371,E002391,0.0,790236,E007391,16066,INV,,HERRER,820.0,GEN,S
FSK MODEM,LAB VOLT 9401/5,9449-00,DSA-1043,1991-05-31,,E705141,OK,2018-05-18,P,INV,ET,E002372,E002392,0.0,790236,E007392,30211,INV,,HERRER,823.0,MODEM,S
RACK,LAB VOLT 9401/5,9420-00,9420 AR,1991-05-31,,E705271,OK,2018-05-18,P,INV,ET,E002381,E0023A1,0.0,790236,E0073A1,SNAF,INV,,HERRER,814.0,RACK,N
RACK,LAB VOLT 9401/5,9420-00,9420 HR,1991-05-31,,E705272,OK,2019-10-30,P,INV,ET,E002382,E0023A2,0.0,790236,E0073A2,SNAF,INV,,HERRER,815.0,RACK,N
PSEUDO RANDOM BINARY,LAB VOLT 9401/5,9422-00,CR,1991-05-31,,E705251,OK,2018-05-18,P,E,ET,E00A111,E0023B1,0.0,790236,E0073B1,16071,,,HERRER,821.0,GEN,S
BIT ERROR RATE IND.,LAB VOLT 9401/5,9423-00,CR,1991-05-31,,E705256,OK,2018-05-18,P,E,ET,E00A112,E0023B2,0.0,790236,E0073B2,17995,,,HERRER,822.0,INDICADOR,S
LOGIC ANALYZER,LAB VOLT 9401/5,9424-00,CR,1991-05-31,,E705255,OK,2018-05-18,P,E,ET,E00A113,E0023B3,0.0,790236,E0073B3,17131,,,HERRER,822.0,ANALI,S
DC VOLTMETER/DCSOURC,LAB VOLT 9401/5,9425-00,LQ,1991-05-31,,E705254,OK,2018-05-18,P,E,ET,E00A114,E0023B4,0.0,790236,E0073B4,17061,,,HERRER,821.0,VOLMETER,S
LOWPASS AUDIO FILTER,LAB VOLT 9401/5,9426-00,DR,1991-05-31,,E705267,OK,2019-11-21,P,E,ET,E00A121,E0023C1,0.0,790236,E0073C1,16016,,,HERRER,819.0,FILTER,S
LOWPASS AUDIO FILTER,LAB VOLT 9401/5,9426-00,DR,1991-05-31,,E705268,OK,2018-05-18,P,E,ET,E00A122,E0023C2,0.0,790236,E0073C2,16007,,,HERRER,819.0,FILTER,S
SYNCHRONOUS AUDIO,LAB VOLT 9401/5,9427-00,BR,1991-05-31,,E705253,OK,2018-05-18,P,E,ET,E00A123,E0023C3,0.0,790236,E0073C3,16074,,,HERRER,821.0,GEN,S
SIGNAL INTERRUPT,LAB VOLT 9401/5,9428-00,AR,1991-05-31,,E705252,OK,2018-05-18,P,E,ET,E00A124,E0023C4,0.0,790236,E0073C4,17508,,,HERRER,821.0,SELECTOR,S
NOISE MEASUREMENT,LAB VOLT 9401/5,9429-00,CR,1991-05-31,,E705257,OK,2018-05-18,P,E,ET,E00A131,E0023D1,0.0,790236,E0073D1,16012,,,HERRER,822.0,FILTER,S
PAM/ASK GENERATOR,LAB VOLT 9401/5,9440-00,A-2774,1991-05-31,,E70526B,OK,2018-05-18,P,E,ET,E00A133,E0023D3,0.0,790236,E0073D3,16088,,,HERRER,820.0,GEN,S
PAM/ASK RECEIVER,LAB VOLT 9401/5,9441-00,A-2788,1991-05-31,,E70526C,OK,2018-05-18,P,E,ET,E00A132,E0023D4,0.0,790236,E0073D2,17406,,,HERRER,820.0,RECEIVER,S
PWM/PPM GENERATOR,LAB VOLT 9401/5,9442-00,DR,1991-05-31,,E70526D,OK,2018-05-18,P,E,ET,E00A141,E0023E1,0.0,790236,E0073E1,16092,,,HERRER,820.0,GEN,S
PWM/PPM RECEIVER,LAB VOLT 9401/5,9443-00,KQ,1991-05-31,,E70526E,OK,2018-05-18,P,E,ET,E00A142,E0023E2,0.0,790236,E0073E2,17405,,,HERRER,820.0,RECEIVER,S
PCM ENCODER,LAB VOLT 9401/5,9444-00,A-2878,1991-05-31,,E705269,OK,2019-11-21,P,E,ET,E00A143,E0023E3,0.0,790236,E0073E3,17410,,,HERRER,819.0,ENCODER,S
PCM DECODER,LAB VOLT 9401/5,9445-00,CR,1991-05-31,,E70526A,OK,2019-11-21,P,E,ET,E00A144,E0023E4,0.0,790236,E0073E4,17407,,,HERRER,819.0,DECODER,S
DPCM ENCODER,LAB VOLT 9401/5,9446-00,A-8995,1991-05-31,,E705265,OK,2018-05-18,P,E,ET,E00A151,E0023F1,0.0,790236,E0073F1,17411,,,HERRER,819.0,ENCODER,S
DPCM DECODER,LAB VOLT 9401/5,9447-00,A-8310,1991-05-31,,E705266,OK,2018-05-18,P,E,ET,E00A152,E0023F2,0.0,790236,E0073F2,17408,,,HERRER,818.0,DECODER,S
BPSK MODULATOR,LAB VOLT 9401/5,9450-00,A-8570,1991-05-31,,E705261,OK,2018-05-18,P,E,ET,E00A161,E0023G1,0.0,790236,E0073G1,16484,,,HERRER,817.0,MODUL,S
BPSK DEMODULATOR,LAB VOLT 9401/5,9451-00,A-8571,1991-05-31,,E705262,OK,2018-05-18,P,E,ET,E00A162,E0023G2,0.0,790236,E0073G2,17413,,,HERRER,818.0,DEMODUL,S
DELTA/CVSD ENCODER,LAB VOLT 9401/5,9454-00,A-7642,1991-05-31,,E705263,OK,2018-05-18,P,E,ET,E00A163,E0023G3,0.0,790236,E0073G3,17412,,,HERRER,818.0,ENCODER,S
DELTA/CVSD DECODER,LAB VOLT 9401/5,9455-00,A-7661,1991-05-31,,E705264,OK,2018-05-18,P,E,ET,E00A164,E0023G4,0.0,790236,E0073G4,17409,,,HERRER,818.0,DECODER,S
OSCILOSCOPIO,PHILIPS,PM3286A/40,DQ02004,1991-05-31,000108,E706321,OK,2018-05-18,P,E,ET,E008421,E006451,637.0,790236,E002352,03732,,,HERRER,921.0,OSC,S
PUNTA LOGICA SEGUIDO,HEWLETT PACKARD,547A,S/N,1991-05-31,,EPLOS05,OK,2018-05-18,P,E,ET,EPLOS05,E002491,390.0,682390,E005475,SNAF,,,HERRER,1126.0,PUNTALOG,N
PUNTA LOGICA SEGUIDO,HEWLETT PACKARD,547A,S/N,1991-05-31,,EPLOS02,OK,2018-05-18,P,E,ET,EPLOS02,E002493,547.0,682390,E005472,SNAF,,,HERRER,1127.0,PUNTALOG,N
PUNTA LOGICA SEGUIDO,HEWLETT PACKARD,547A,S/N,1991-05-31,,EPLOS04,OK,2018-05-18,P,E,ET,EPLOS04,E002494,391.0,682390,E005474,SNAF,,,HERRER,1127.0,PUNTALOG,N
POWER SUPPLY DUAL,LAB VOLT,9401-00,ER,1990-07-07,,E705131,OK,2019-11-21,P,INV,ET,E001121,E007111,502.0,790236,EFU1111,15680,INV,,HERRER,83.0,FUE,S
ENTRADA ANALOGA,SIEMENS,6ES54648MA,S/N,1991-06-05,000209,E704171,OK,2018-05-17,P,INV,ET,E006111,E004221,0.0,310333,E003171,17481,INV,,HERRER,1513.0,PLC,S
